mav1,rms1,zc1,wl1,ssc1,mav_slope1,ar_coeff1,psd1,mav2,rms2,zc2,wl2,ssc2,mav_slope2,ar_coeff2,psd2,label
15.52,39.4216945348624,0.3015,20279,0.364,20.2992992992993,0.134727843815561,0.2734375,2.967,4.90540518204154,0.386,4018,0.438,4.02202202202202,0.115903863886602,0.26171875,front
12.496,30.0625348232646,0.2665,16659,0.3215,16.6756756756757,0.127128568871585,0.203125,3.223,5.01388073252645,0.3945,4253,0.443,4.25725725725726,0.160666779220717,0.16796875,front
10.967,26.654849464966,0.271,14162,0.331,14.1761761761762,0.130783741310278,0.234375,3.561,5.46671747943864,0.4145,4739,0.462,4.74374374374374,0.172039354151995,0.18359375,front
13.083,31.5508636965773,0.283,17178,0.334,17.1951951951952,0.0403389447348547,0.2421875,3.949,6.06011551045028,0.387,4984,0.431,4.98898898898899,0.243243952675287,0.1875,front
10.1,24.9084323071525,0.2665,12449,0.3295,12.4614614614615,0.147583094431956,0.24609375,3.808,5.72590604184176,0.3905,4895,0.438,4.8998998998999,0.204111233030998,0.18359375,front
8.582,19.7318524219091,0.3045,11958,0.3585,11.96996996997,0.0490192603038412,0.28125,3.705,5.84799110806438,0.3805,4887,0.4355,4.89189189189189,0.163162199570693,0.17578125,front
17.648,40.587781412637,0.2905,23379,0.3385,23.4024024024024,0.128856719297324,0.20703125,4.217,6.25611700657844,0.4075,5412,0.4515,5.41741741741742,0.173615027019727,0.203125,front
12.341,30.7134335429955,0.2565,16195,0.313,16.2112112112112,0.0578444197818263,0.2734375,4.011,6.22840268447698,0.39,5231,0.4395,5.23623623623624,0.1896080157379,0.2265625,front
17.134,38.8277478100391,0.287,23288,0.3295,23.3113113113113,0.127766254786814,0.24609375,3.942,6.30333245196539,0.4145,5297,0.4605,5.3023023023023,0.159065740461089,0.17578125,front
8.903,19.8607905180031,0.291,11830,0.332,11.8418418418418,0.0862464019556288,0.27734375,5.521,8.5244941198877,0.4175,7186,0.4535,7.19319319319319,0.203300755757075,0.24609375,front
19.395,41.3248956441514,0.283,25946,0.3365,25.971971971972,0.138545434684014,0.27734375,5.199,7.18366201877566,0.426,6717,0.461,6.72372372372372,0.21167826025946,0.1640625,front
